#            r                  2P                  2S                  1S
      0.002344321005      0.000034428836      0.014446352757      0.064028251223
      0.002363150792      0.000034982145      0.014560730333      0.064535206913
      0.002382131821      0.000035544330      0.014676000042      0.065046117253
      0.002401265307      0.000036115534      0.014792168626      0.065561012136
      0.002420552475      0.000036695900      0.014909242874      0.066079921667
      0.002439994560      0.000037285575      0.015027229622      0.066602876162
      0.002459592805      0.000037884707      0.015146135754      0.067129906150
      0.002479348465      0.000038493449      0.015265968204      0.067661042373
      0.002499262803      0.000039111954      0.015386733951      0.068196315790
      0.002519337096      0.000039740377      0.015508440026      0.068735757576
      0.002539572627      0.000040378878      0.015631093508      0.069279399125
      0.002559970691      0.000041027618      0.015754701525      0.069827272047
      0.002580532595      0.000041686760      0.015879271255      0.070379408175
      0.002601259653      0.000042356471      0.016004809926      0.070935839564
      0.002622153193      0.000043036919      0.016131324814      0.071496598489
      0.002643214552      0.000043728277      0.016258823250      0.072061717451
      0.002664445077      0.000044430718      0.016387312611      0.072631229176
      0.002685846128      0.000045144419      0.016516800328      0.073205166617
      0.002707419074      0.000045869562      0.016647293882      0.073783562954
      0.002729165295      0.000046606328      0.016778800805      0.074366451596
      0.002751086184      0.000047354903      0.016911328684      0.074953866183
      0.002773183144      0.000048115476      0.017044885153      0.075545840586
      0.002795457588      0.000048888239      0.017179477904      0.076142408910
      0.002817910942      0.000049673386      0.017315114677      0.076743605491
      0.002840544644      0.000050471116      0.017451803267      0.077349464905
      0.002863360141      0.000051281628      0.017589551522      0.077960021960
      0.002886358895      0.000052105128      0.017728367345      0.078575311704
      0.002909542376      0.000052941822      0.017868258690      0.079195369425
      0.002932912069      0.000053791922      0.018009233566      0.079820230650
      0.002956469470      0.000054655641      0.018151300039      0.080449931148
      0.002980216085      0.000055533197      0.018294466225      0.081084506930
      0.003004153436      0.000056424811      0.018438740300      0.081723994252
      0.003028283053      0.000057330708      0.018584130490      0.082368429615
      0.003052606481      0.000058251114      0.018730645080      0.083017849769
      0.003077125278      0.000059186262      0.018878292410      0.083672291707
      0.003101841011      0.000060136388      0.019027080877      0.084331792676
      0.003126755263      0.000061101729      0.019177018931      0.084996390170
      0.003151869629      0.000062082530      0.019328115082      0.085666121937
      0.003177185715      0.000063079035      0.019480377895      0.086341025976
      0.003202705143      0.000064091497      0.019633815993      0.087021140542
      0.003228429544      0.000065120170      0.019788438057      0.087706504144
      0.003254360566      0.000066165312      0.019944252823      0.088397155548
      0.003280499869      0.000067227186      0.020101269089      0.089093133778
      0.003306849124      0.000068306058      0.020259495708      0.089794478116
      0.003333410019      0.000069402201      0.020418941593      0.090501228107
      0.003360184253      0.000070515888      0.020579615714      0.091213423556
      0.003387173541      0.000071647401      0.020741527104      0.091931104530
      0.003414379608      0.000072797022      0.020904684850      0.092654311360
      0.003441804197      0.000073965042      0.021069098104      0.093383084645
      0.003469449063      0.000075151752      0.021234776073      0.094117465248
      0.003497315974      0.000076357452      0.021401728028      0.094857494299
      0.003525406715      0.000077582443      0.021569963299      0.095603213200
      0.003553723083      0.000078827033      0.021739491275      0.096354663620
      0.003582266891      0.000080091535      0.021910321409      0.097111887502
      0.003611039965      0.000081376265      0.022082463212      0.097874927058
      0.003640044147      0.000082681545      0.022255926260      0.098643824778
      0.003669281292      0.000084007704      0.022430720188      0.099418623423
      0.003698753273      0.000085355073      0.022606854693      0.100199366033
      0.003728461976      0.000086723991      0.022784339536      0.100986095923
      0.003758409301      0.000088114800      0.022963184540      0.101778856689
      0.003788597166      0.000089527850      0.023143399589      0.102577692203
      0.003819027503      0.000090963493      0.023324994633      0.103382646621
      0.003849702258      0.000092422091      0.023507979682      0.104193764379
      0.003880623396      0.000093904007      0.023692364812      0.105011090196
